"Schroder European Recovery Z Acc","GB0007221889","Europe Excluding UK","10509.435010","22.401000","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","109.761350","111.112930","114.675956","99.390782","135.310406","87.126994","","",""
"Russell Inv Continental Eurp Eq SH-I","IE00B1808D73","Europe Excluding UK","28843.703170","145.232000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","Large Blend","","Large Blend","108.905992","109.993369","107.361506","108.639549","99.064672","118.114979","","",""
"Schroder European Z Inc GBP Hedged","GB00B8FGLQ10","Europe Excluding UK","12378.763810","133.334000","Large Blend","Mid Blend","Mid Value","Mid Value","Mid Value","Mid Blend","Large Value","Mid Blend","Large Blend","Mid Blend","Mid Blend","Mid Blend","107.454987","115.724661","102.099399","113.683786","114.255609","138.193343","","",""
"Schroder European Sust Eq C Inc Hdg","GB00B8VX2T67","Europe Excluding UK","23564.341460","159.085000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","107.285969","133.737305","97.996108","128.460292","104.703202","126.470233","","",""
"SVS Sanlam European Equity B","GB00B4LLXV18","Europe Excluding UK","29444.970090","233.452000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","107.288476","117.748203","100.474339","109.443186","100.511038","118.618301","","",""
"Comgest Growth Europe ex UK GBP SU Acc","IE00BQ1YBM13","Europe Excluding UK","46404.493010","281.554000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","106.668125","82.887356","100.046409","99.117632","91.337174","110.287113","","",""
"MFS Meridian Continen Eurp Eq WH1 GBP","LU0583245823","Europe Excluding UK","55871.458200","193.673000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Growth","Large Growth","Large Growth","Large Blend","Large Blend","Large Blend","","106.613876","87.887837","103.311683","101.735896","99.745795","111.403625","","",""
"CT European Z Acc GBP","GB00B8C2LS47","Europe Excluding UK","64171.788520","178.405000","Large Blend","Large Blend","Large Blend","Large Blend","Large Growth","Large Growth","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","106.455746","93.152069","105.611994","98.733039","121.384801","113.958986","","",""
"Artemis European Sustainable Gr I HdgAcc","GB00B6WFCS60","Europe Excluding UK","24345.831450","259.144000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","105.575071","119.326635","103.843422","127.679285","118.695411","146.419724","","",""
"Barings European Growth I GBP Inc","GB00B8DDXV30","Europe Excluding UK","48629.147740","157.477000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","104.887585","116.775300","99.634195","99.110679","95.667455","96.212195","","",""
"Invesco European Equity UK Z Acc","GB00B8N44J10","Europe Excluding UK","37556.255710","82.617000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","104.890944","111.080818","109.727336","100.911530","113.099378","78.288416","","",""
"Artemis SmartGARP European Eq I Acc GBP","GB00B2PLJD73","Europe Excluding UK","7902.147720","47.123000","Large Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","Mid Value","104.690972","119.359328","110.533936","110.537793","113.337516","73.929617","","",""
"Janus Henderson Instl Eurp Idx Opp I Acc","GB00B00K2V41","Europe Excluding UK","47323.329090","150.504000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","104.472428","98.393051","105.611313","100.378387","119.038723","99.881634","","",""
"GAM Star Continental Eurp Eq Instl £ Acc","IE00B3CTFX38","Europe Excluding UK","48084.171810","192.752000","Large Growth","Large Growth","Large Growth","Large Blend","Large Blend","Large Blend","Large Growth","Large Growth","Large Blend","Large Blend","Large Blend","Large Blend","104.346604","102.146938","104.208639","96.585165","92.133812","98.002029","","",""
"Schroder European Alpha Plus £ Hdg A Acc","GB00B91MXQ43","Europe Excluding UK","11440.418560","198.741000","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","103.979947","138.700817","107.638526","136.647368","117.353601","164.690105","","",""
"abrdn Europe ex UK Ethical Equity P1 Acc","GB00B3N24788","Europe Excluding UK","16807.645940","233.429000","Large Growth","","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","103.623691","112.964954","103.247909","125.751061","96.232613","151.203888","","",""
"Quilter Inv Eurp (ex UK) Eq U2 (GBP) Acc","GB00B8L0QW80","Europe Excluding UK","44840.339990","151.226000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","103.519081","91.957965","102.265499","92.418416","107.062831","89.752044","","",""
